id,name,genre,artists,album,popularity,duration_ms,explicit,genre_id,artists_id,album_id,duration_s
70g49CrVdszVXL2K4PthrW,The Mystery - Post-Dubstep DJ Mix Edit,post-dubstep,Mike Lucid,Dubstep Hard Bass Top 100 Hits 2015 DJ Mix,0.0,190500,0,88,2644,1189,0.20313977824793839
0umAduzH6cuIMorxfeGtUN,Pop like this Pt. 2 - Sped Up,pop,prodbycpkshawn,Pop like this Pt. 2 (Sped Up),0.5777777777777778,92328,0,86,4564,3117,0.07884011288919614
2vPFNNUQ0DlHpXjE7sTNfb,wild flame,mpb,"Moby, Danae",always centered at night,0.15555555555555556,281453,0,78,2681,4723,0.3182991664989029
7o4BIVzqjcUnY8jGPD99sK,Bossa Nova Corps,bossanova,Origami Angel,GAMI GANG,0.4222222222222222,172656,0,9,2926,1558,0.18054674531939058
6QrgxKiGjdJ5wOmZvGzWPu,Latin Grammys,latin,Action Bronson,Only For Dolphins,0.4777777777777778,169813,1,69,129,2930,0.17694710439718359
1z1io5H0gfutwUNILCDshn,Spanish Moss,spanish,Of The Trees,Tanglewood,0.48888888888888893,158961,0,114,2896,3991,0.16320693440499567
2dNLDlWXC9S1fWMy4rekFF,Electronica,electronic,MELVV,Voltage / Electronica,0.2,116800,0,33,2443,4527,0.10982513316645585
5FnNm5CjVEyUUW9q9LNFEf,Teeth,hardcore,Kublai Khan TX,Youth War,0.32222222222222224,117093,1,49,2168,4702,0.11019611269167802
5SAckbSHhNJ41b3bn5XwPL,Happy Birthday (feat. John Legend),happy,"Kygo, John Legend",Cloud Nine,0.5111111111111112,250466,0,47,2176,822,0.27906523288777807
1UVvN0UEuBBqfkreVl8NvD,Heavy (with Lil Uzi Vert),heavy-metal,"Nigo, Lil Uzi Vert",Heavy,0.2777777777777778,200425,0,51,2842,1850,0.21570623486169305
11szGGS4IcTz7vW6Zfmqk6,Fun Game,comedy,Tom Segura,Thrilled,0.37777777777777777,82207,0,19,4063,4298,0.0660254924974772
14RIOUO6Eb8NmwX8BeVMpm,Jazz,jazz,"Bobby Hutcherson, Harold Land",San Francisco,0.08888888888888889,326333,0,66,554,3528,0.3751236070858356
6S2gYweMmT6xygVh5q3QLa,House of Cards (Full Length Edition),house,BTS,The Most Beautiful Moment in Life: Young Forever,0.6666666666666667,226212,0,55,371,4190,0.24835623150641745
0aNiFyzxWFrxddWdiytU2k,Loyalty,romance,romance bby,Loyalty,0.3,115774,1,102,4570,2462,0.10852607175731609
15ITexIpfM8NNcVLQ3ng6d,Songwriter,songwriter,The Good Rats,Tasty,0.011111111111111112,230120,0,111,3877,4001,0.2533043133650122
1yiNJ7w7oIWM7Ea87AHhKV,Malay,malay,Evangeline Poodle,Phenomenal Terrible,0.0,100205,0,71,1342,3065,0.08881351125156843
3ZgJEAC9ammsrwnpLdyu4u,Building You A Rainbow,psych-rock,Psychic Graveyard,Split,0.05555555555555556,203250,0,91,3143,3773,0.21928308523286244
4HImDTLmK5CQbF3rhci7zx,Saved By Zero,synth-pop,The Fixx,Synth Pop,0.4222222222222222,220733,0,118,3869,3906,0.24141904099893519
34ZLWyyit8IfBE7QSYqFN2,Indian The Box Dripreport Roddy Ricch,indian,Indian Drake,Dripreport Tribute (not me),0.3111111111111111,120302,1,57,1788,1162,0.11425916148498168
5Vm7eVa9fhWNAQGm5qEA6n,SUPER IDOL,j-idol,"SKY-HI, Nissy",SUPER IDOL,0.48888888888888893,195786,0,63,3391,3493,0.20983260340262927
5pjETtb5hpSStfFlAAU0J7,Kids,kids,Ben Rector,Magic,0.4222222222222222,257493,0,68,450,2525,0.28796241078448875
4QTOBplVb5ZAVX5BZUQaLX,Tehran,iranian,Hessam Bahmani,Tehran,0.15555555555555556,277172,0,61,1716,4024,0.3128788137771414
4MYDC5rsf9ZAip709wD9en,W,j-idol,"Doobie Danx, Jaedawn",Anything But Idol,0.4222222222222222,154173,1,63,1149,289,0.1571446478290101
2wlaL1vtL4scN3huZY3myh,Folklore,folk,Coffv,Folklore,0.22222222222222224,58052,0,35,837,1469,0.035441839146823056
1xm6x072dwF70M1DJNFoUt,"French Suite No. 4 in E-Flat Major, BWV 815a: III. Courante",french,"Johann Sebastian Bach, Angela Hewitt",Bach & Friends,0.12222222222222223,111426,0,37,1956,380,0.1030208875400259
0Ggu6HFQ6Csfgtk9xjGZMQ,Follow the Sun Down,new-release,Dark new Day,Twelve Year Silence (U.S. Release),0.2111111111111111,257386,0,80,997,4413,0.28782693361998785
1MUHxvfnVhozB5RPjQVBfr,Time Space Transmat,detroit-techno,Model 500,Submerge Vol.1:Detroit Techno,0.022222222222222223,370906,0,25,2688,3845,0.43155934216340575
0MlYhSz8Xr5JhfV0OpMxRv,Garage Kidd,garage,Kolby Rempel,Give Everything,0.26666666666666666,163519,0,39,2148,1625,0.16897800838439048
77ZkK3Mzpr66cXDVN99oOo,MPB,mpb,"T.C.B., Sir Random, DJ Big Tex",Political Mics,0.0,234605,1,78,3764,3103,0.2589829589985325
1QQfdyTs6m9S4dx4SKJsyt,Post-Dubstep Synths - Subs & Strings,post-dubstep,Daniel Alflatt,"Walk, Vol. 2",0.0,152276,0,88,977,4550,0.15474277697799826
5M0pviz4op3uvRnKTnPoce,Happy Hour,happy,"Talha Anjum, Jokhay",Open Letter,0.6222222222222222,195000,1,47,3788,2935,0.20883741600732336
7cf8xNXwU9K0BuHjyIvxLE,HEAVY METAL,heavy-metal,Mike Dimes,HEAVY METAL,0.37777777777777777,171111,1,51,2642,1761,0.17859055635533505
5dUJxCMhKoK9yRWgqnDBV9,Garage,garage,Frizzy P & Mr Cole,The Backroom Tape,0.2111111111111111,147566,0,39,1480,4062,0.14877924945650867
1QdtQPEokExDmlxw1AKOf1,Acoustic,acoustic,Puppe Music,Tranquil Moods,0.11111111111111112,62928,0,0,3152,4356,0.04161554619454774
54SdEZAm4EY7o4n61w2IPd,folk,folk,Koki Okamoto,時のぬけがら,0.0,246910,0,35,2146,4917,0.27456283291613964
4gjjWs6nwNLpMRYMa4Z2DZ,Camisa 10 - Ao Vivo,pagode,Turma do Pagode,Esse É o Clima (Ao Vivo | Versão Estendida),0.6111111111111112,197360,0,82,4137,1321,0.21182551047668974
0UVBCjKSuCYlVNlYBmziPi,Gardens of Seville,world-music,Global Village Players,Sounds of the World: A Musical Journey,0.34444444444444444,70275,0,125,1568,3749,0.05091788944303692
3jXO6DaBfzaWnOfrNpvoKL,Flute Dub,dubstep,Subtronics,FRACTALS,0.2888888888888889,185142,0,30,3705,1366,0.19635579088909738
7gucBbyghznxymMxGhqjyD,Knock Knock,metal-misc,A. Yarmak,Hotline Miami Goes Metal,0.16666666666666669,226977,0,74,75,1937,0.24932482992551291
7IaBNvBUsdZ9eQaP0EZgrU,Indie Pop Type Beat,indie,Billy Marchiafava,Indie Pop Type Beat,0.4666666666666667,156800,1,58,495,2085,0.16047080213876663
7zfdwg8ZfgJgUz4VRD7oaQ,Rock the Bass,psych-rock,PANICX,psychosis,0.12222222222222223,83600,1,91,2954,4820,0.06778922791943792
4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,sertanejo,"Gustavo Mioto, Mari Fernandez",Eu Gosto Assim (Ao Vivo),0.7333333333333334,148800,0,106,1631,1329,0.15034166834430446
